name,yrnom,posit,recess,success,id,analu,seatid,spaethid,zukid,birdate,biryear,birthcit,birthst,childcit,childst,childsur,famses,famjud,nomrelig,natorig,race,gender,mothname,fathname,fathoccu,fathpol,fathpoln,undsch,undsta,unddat,undschn,gradsch,gradsta,graddat,gradschn,lawsch,lawsta,lawdat,lawschn,read,readst,readyr,readn,marryn,spouse,marryr,child,militbr,milityrs,militran,militwar,clerkj,clerkyrs,barst1,baryr1,barst2,baryr2,barst3,baryr3,privtyp1,privst1,privyrs1,privtyp2,privst2,privyrs2,schname1,schrank1,schyrs1,schname2,schrank2,schyrs2,schn,schcon,sttrist,sttriyrs,stapst,stapyrs,stsupst,stsupyrs,feddist,feddi,feddiyrs,fedca,fedcayrs,usasat,usasatyrs,usat,usatyrs,ussgoyrs,ussgyrs,usagoyrs,usagyrs,uscab,uscabyrs,ussec,ussecyrs,usage,usageyrs,usagh,usaghyrs,uspresyrs,ushr1,ushryrs1,ushr2,ushryrs2,ussn1,ussnyrs1,ussn2,ussnyrs2,conconv,concong,concongyrs,artcon,artconyrs,artconsp,citat,citatyrs,cdep,cdepyrs,cdis,cdisyrs,saag,saagyrs,stag,stagyrs,ltgov,ltgov1,ltgov2,gov,govyrs,stcab,stcabyrs,mayor,mayoryrs,stsenate,stsenyrs,sthouse,sthseyrs,ctycl,ctyclyrs,commsn,commsnyrs,datenom,datesen,judnom,usjnom,stjnom,prsznom,prstnom,prposnom,prschnom,govatnom,uslenom,uslesnom,stlenom,stlesnom,stexpnom,stexsnom,usexnom,yrposnom,agenom,stnom,parnom,prparnom,prdssr,presname,prespart,nompres,socpres,econpres,congress,senparty,nomsen,ideo,mednmq1,medmq1,mednmq2,medmq2,qual,abarate,abavote,heardate,heardays,comdvote,comvote,intpro,intanti,sendate,senact,sensupp,senopp,serve,withdraw,dateserb,datesere,agedep,reasdep,postdep,scssr,deathd,deathcit,deathst,deathag
"Jay, John",1789,0,0,1,1,1,1.01,1,888,12/12/1745,1745,282,32,287,32,1,5,0,6,12,0,0,"Cortlandt, Mary Van","Jay, Peter",24,888,888,24,2,1764,1,888,888,888,888,888,888,888,888,"Kissam, Benjamin",32,1768,1,1,"Livingston, Sarah Van Brugh",1774,7,14,2,3,1,888,0,32,1768,888,888,888,888,3,32,6,777,777,0,888,888,0,888,888,0,888,888,888,0,888,0,32,1,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,23,5,888,0,888,0,0,888,0,888,0,888,0,888,0,0,32,5,888,0,888,888,0,888,0,888,0,888,0,888,0,888,888,888,888,0,888,0,888,0,888,0,888,0,888,0,888,0,09/24/1789,09/24/1789,888,888,888,888,888,888,888,888,888,888,888,888,888,888,6,5,43,32,3,888,ORIGINAL NOMINATION,1,3,888,888,888,1,3,0.225999996,888,888,888,888,888,888,888,888,999. PREDATE,999,999. PREDATE,999,888,888,09/26/1789,1,666,666,1,888. NOMINATION NOT WITHDRAWN,10/19/1789,06/29/1795,49,10,3,"Ellsworth, Oliver",05/17/1829,270,32,83
"Rutledge, John",1789,1,0,1,2,1,2.01,2,888,09/18/1739,1739,349,40,349,40,5,5,0,6,8,0,0,"Hext, Sarah","Rutledge, John",26,888,888,888,888,888,888,888,888,888,888,70,1,1760,1,"Parson, James",40,1757,2,1,"Grimke, Elizabeth",1763,10,888,0,888,888,888,0,54,1760,888,888,888,888,1,40,13,777,777,0,888,888,0,888,888,0,888,888,40,6,888,0,888,0,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,0,888,0,1,40,2,40,1,0,888,0,888,0,888,0,888,0,40,1,888,888,888,40,3,888,0,888,0,888,0,40,17,888,0,14,0,09/24/1789,09/24/1789,8,888,40,888,888,888,888,888,888,888,888,888,888,888,888,5,50,40,3,888,ORIGINAL NOMINATION,1,3,888,888,888,1,3,0.225999996,888,888,888,888,888,888,888,888,999. PREDATE,999,999. PREDATE,999,888,888,09/26/1789,1,666,666,1,888. NOMINATION NOT WITHDRAWN,02/15/1790,03/05/1791,51,10,6,"Johnson, Thomas",07/18/1800,349,40,60
"Cushing, William",1789,1,0,1,3,1,3.01,3,888,03/01/1732,1732,190,21,190,21,3,5,1,3,4,0,0,"Cotton, Mary","Cushing, John",20,10,1,47,2,1751,1,888,888,888,888,888,888,888,888,"Gridley, Jeremiah",21,1755,1,1,"Phillips, Hannah",1774,0,888,0,888,888,888,0,21,1755,888,888,888,888,1,21,2,1,19,11,888,888,0,888,888,0,888,888,21,5,888,0,21,12,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,888,0,888,0,888,0,888,0,888,0,888,888,888,888,0,888,0,888,0,888,0,888,0,888,0,18,0,09/24/1789,09/24/1789,6,888,21,888,888,888,888,888,888,888,888,888,888,888,888,9,57,21,3,888,ORIGINAL NOMINATION,1,3,888,888,888,1,3,0.225999996,888,888,888,888,888,888,888,888,999. PREDATE,999,999. PREDATE,999,888,888,09/26/1789,1,666,666,1,888. NOMINATION NOT WITHDRAWN,02/02/1790,09/13/1810,78,3,777,"Story, Joseph",09/13/1810,190,21,78
"Harrison, Robert H.",1789,1,0,0,4,1,6.01,888,888,999. UNKNOWN,1745,164,20,164,20,2,5,0,2,4,0,0,"Hanson, Dorothy","Harrison, Richard",19,999,999,888,888,888,888,888,888,888,888,888,888,888,888,999. UNKNOWN,999,999,999,2,"Dent, Grace",999,2,5,6,9,1,888,0,20,999,46,999,888,888,1,46,6,777,777,0,888,888,0,888,888,0,888,888,20,8,888,0,888,0,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,888,0,888,0,888,0,888,0,888,0,888,888,888,888,0,20,-782,888,0,888,0,888,0,888,0,888,0,09/24/1789,09/24/1789,8,888,20,888,888,888,888,888,888,888,888,888,888,888,888,8,44,20,3,888,ORIGINAL NOMINATION,1,3,888,888,888,1,3,0.225999996,888,888,888,888,888,888,888,888,999. PREDATE,999,999. PREDATE,999,888,888,09/26/1789,1,666,666,2,888. NOMINATION NOT WITHDRAWN,888. NOT CONFIRMED OR DIDN'T SERVE,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,888,888,888,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,04/02/1790,164,20,45
"Wilson, James",1789,1,0,1,5,1,4.01,4,888,09/14/1742,1742,540,58,999,58,2,1,0,6,19,0,0,"Lansdale, Alison","Wilson, William",38,888,888,89,1,1760,1,888,888,888,888,888,888,888,888,"Dickinson, John",38,1767,1,2,"Gray, Hannah",1793,7,888,0,888,888,888,0,38,1767,888,888,888,888,1,38,2,1,38,11,84,7,1,777,777,0,1,0,888,0,888,0,888,0,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,0,888,0,1,38,2,38,4,1,888,0,888,0,888,0,888,0,888,0,888,888,888,888,0,888,0,888,0,888,0,888,0,888,0,21,0,09/24/1789,09/24/1789,888,888,888,1,38,888,888,888,888,888,888,888,888,888,888,21,47,38,3,888,ORIGINAL NOMINATION,1,3,888,888,888,1,3,0.225999996,888,888,888,888,888,888,888,888,999. PREDATE,999,999. PREDATE,999,888,888,09/26/1789,1,666,666,1,888. NOMINATION NOT WITHDRAWN,10/05/1789,08/21/1798,55,3,777,"Washington, Bushrod",08/21/1798,298,33,55
"Blair, John, Jr.",1789,1,0,1,6,1,5.01,5,888,999. UNKNOWN,1732,399,46,399,46,6,5,0,6,22,0,0,"Monro, Mary","Blair, John",28,11,3,114,2,1754,1,888,888,888,888,70,1,1756,1,888. NOMINEE DID NOT READ LAW,888,888,888,1,"Balfour, Jean",1756,999,888,0,888,888,888,0,46,1756,888,888,888,888,1,46,21,777,777,0,888,888,0,888,888,0,888,888,46,2,888,0,46,9,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,0,888,0,1,888,0,888,0,888,888,0,888,0,888,0,888,0,888,0,888,888,888,888,0,46,2,888,0,888,0,46,4,888,0,9,0,09/24/1789,09/24/1789,6,888,46,888,888,888,888,888,888,888,888,888,888,888,888,9,57,46,3,888,ORIGINAL NOMINATION,1,3,888,888,888,1,3,0.225999996,888,888,888,888,888,888,888,888,999. PREDATE,999,999. PREDATE,999,888,888,09/26/1789,1,666,666,1,888. NOMINATION NOT WITHDRAWN,02/02/1790,01/27/1796,64,2,777,"Chase, Samuel",08/31/1800,399,46,68
"Iredell, James",1790,1,0,1,7,1,6.02,6,888,10/05/1751,1751,513,54,541,54,5,3,0,6,7,0,0,"McCulloch, Margaret","Iredell, Francis",24,888,888,888,888,888,888,888,888,888,888,888,888,888,888,"Johnston, Samuel",33,1770,1,1,"Johnston, Hannah",1773,3,888,0,888,888,888,0,33,1770,888,888,888,888,1,33,7,1,33,8,888,888,0,888,888,0,888,888,33,1,888,0,888,0,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,888,0,2,8,888,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,888,0,888,0,888,0,888,0,33,2,888,888,888,888,0,33,0,888,0,888,0,888,0,888,0,11,0,02/08/1790,02/09/1790,888,888,888,1,33,888,888,888,888,888,888,888,888,888,888,8,38,33,3,888,ORIGINAL NOMINATION,1,3,888,888,888,1,3,0.225999996,888,888,888,888,888,888,888,888,999. PREDATE,999,999. PREDATE,999,888,888,02/10/1790,1,666,666,1,888. NOMINATION NOT WITHDRAWN,05/12/1790,10/20/1799,48,3,777,"Moore, Alfred",10/20/1799,298,33,48
"Johnson, Thomas",1791,1,1,888,8,1,2.02,7,888,11/04/1732,1732,162,20,162,20,6,5,0,6,4,0,0,"Sedgwick, Dorcas","Johnson, Thomas",28,11,1,888,888,888,888,888,888,888,888,888,888,888,888,"Bordley, Stephen",20,1760,1,1,"Jennings, Ann",1766,8,9,1,1,1,888,0,20,1760,888,888,888,888,1,20,16,777,777,0,888,888,0,888,888,0,888,888,20,1,888,0,888,0,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,0,888,0,0,20,3,888,0,888,888,0,888,0,888,0,888,0,888,0,888,888,888,20,2,888,0,888,0,888,0,20,2,888,0,19,0,08/05/1791,RECESS APPT,8,888,20,888,888,888,888,888,888,888,888,888,888,888,888,1,58,20,3,888,"Rutledge, John",1,3,888,888,888,2,3,0.090000004,888,888,888,888,888,777,777,777,777. RECESS APPOINTMENT,777,777. RECESS APPOINTMENT,777,777,777,777. RECESS APPT,777,777,777,777,777. RECESS APPOINTMENT,09/19/1791,08/06/1792,59,13,9,666. RECESS APPOINTEE REPLACED HIMSELF,10/26/1819,165,20,86
"Johnson, Thomas",1791,1,0,1,9,2,2.03,7,888,11/04/1732,1732,162,20,162,20,6,5,0,6,4,0,0,"Sedgwick, Dorcas","Johnson, Thomas",28,11,1,888,888,888,888,888,888,888,888,888,888,888,888,"Bordley, Stephen",20,1760,1,1,"Jennings, Ann",1766,8,9,1,1,1,888,0,20,1760,888,888,888,888,1,20,16,777,777,0,888,888,0,888,888,0,888,888,20,1,888,0,888,0,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,0,888,0,0,20,3,888,0,888,888,0,888,0,888,0,888,0,888,0,888,888,888,20,2,888,0,888,0,888,0,20,2,888,0,19,0,10/31/1791,11/01/1791,9,1,888,888,888,888,888,888,888,888,888,888,888,888,888,1,58,20,3,888,"Rutledge, John",1,3,888,888,888,2,3,0.090000004,888,888,888,888,888,888,888,888,999. PREDATE,999,999. PREDATE,999,888,888,11/07/1791,1,666,666,1,888. NOMINATION NOT WITHDRAWN,08/06/1792,01/16/1793,60,2,777,"Paterson, William",10/26/1819,165,20,86
"Paterson, William",1793,1,0,0,10,1,2.04,8,888,12/24/1745,1745,530,55,258,30,3,4,0,10,22,0,0,Mary,"Paterson, Richard",23,888,888,85,2,1763,1,85,2,1776,1,888,888,888,888,"Stockton, Richard",30,1769,1,2,"White, Euphemia",1785,3,11,2,13,1,888,0,30,1769,888,888,888,888,1,30,7,1,30,5,888,888,0,888,888,0,888,888,888,0,888,0,888,0,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,30,1,777,0,1,888,0,888,0,888,888,0,888,0,888,0,888,0,30,7,888,888,888,30,3,888,0,888,0,888,0,30,1,888,0,13,0,02/27/1793,02/27/1793,888,888,888,888,888,888,888,888,888,888,888,888,1,30,888,3,47,30,3,888,"Johnson, Thomas",1,3,888,888,888,2,3,0.090000004,888,888,888,888,888,888,888,888,999. PREDATE,999,999. PREDATE,999,888,888,888. NO RECORD OF ACTION,888,888,888,4,02/28/1793,888. NOT CONFIRMED OR DIDN'T SERVE,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,888,888,888,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,09/09/1806,268,32,60
